rank,name,net_worth,trre,wealth_in_tax_base,source_of_wealth,asset_class,departed_flag,ambiguous,notes
1,Larry Page,256200000000.0,101500000,256098500000,Google/Alphabet (GOOGL),PUBLIC,1,False,Page's primary residence is now a Florida mansion.
2,Sergey Brin,236400000000.0,35000000,236365000000,Google/Alphabet (GOOGL),PUBLIC,1,False,
3,Mark Zuckerberg,225100000000.0,300000000,224800000000,Meta Platforms (META),PUBLIC,0,False,Zuckerberg's compund consists of 11 different properties ranging from $5 million to $15 million.
4,Jensen Huang,162600000000.0,52400000,162547600000,Nvidia (NVDA),PUBLIC,0,False,Huang also has a $38 million San Francisco Mansion.
5,Eric Schmidt,35600000000.0,600000000,35000000000,Google/Alphabet (GOOGL),PUBLIC,0,False,Schmidt also bought a $30.8 million estate in Montecito in 2020.
6,Henry Samueli,32000000000.0,20150000,31979850000,Broadcom (AVGO),PUBLIC,0,False,Samueli only seems to have one residence.
7,Peter Thiel,26700000000.0,77200000,26622800000,Palantir (PLTR) + Founders Fund VC,PUBLIC,1,True,
8,Robert Pera,25500000000.0,21550000,25478450000,Ubiquiti (UI),PUBLIC,0,False,"Pera's primary residence is in San Jose, but no sources confirm its value. One of Pera's other residences is a $21.5 million NYC penthouse."
9,Adam Foroughi,25000000000.0,159008928.6,24840991071,AppLovin (APP),PUBLIC,0,False,
10,Henry Nicholas III,21900000000.0,19777777,21880222223,"Broadcom cofounder, now diversified",OTHER,0,True,
11,John Doerr,20000000000.0,127207142.9,19872792857,Kleiner Perkins (VC),VCPE,0,False,
12,Donald Bren,19200000000.0,122118857.1,19077881143,Irvine Company (private RE company),VCPE,0,False,
13,Eric Smidt,17900000000.0,54000000,17846000000,Harbor Freight Tools (private),VCPE,0,False,
14,John Tu,17500000000.0,7250000,17492750000,Kingston Technology (private),VCPE,0,False,
15,David Sun,17500000000.0,111306250,17388693750,Kingston Technology (private),VCPE,0,False,
16,Jan Koum,17100000000.0,400000000,16700000000,"WhatsApp exit proceeds, diversified",OTHER,0,False,Koum's $187 million compound consists of two houses.
17,George Roberts,15900000000.0,29084160,15870915840,KKR & Co. (KKR),PUBLIC,0,False,
18,Laurene Powell Jobs,14000000000.0,242000000,13758000000,Apple (AAPL) + Disney (DIS) shares,PUBLIC,0,False,
19,Jack Dangermond,13800000000.0,87772928.57,13712227071,Esri (private GIS company),VCPE,0,False,
20,Antony Ressler,13100000000.0,100000000,13000000000,Ares Management (ARES),PUBLIC,0,False,"Ressler's various LA properties are estimated to be worth over $100,000,000."
21,Vinod Khosla,12500000000.0,79504464.29,12420495536,Khosla Ventures (VC),VCPE,0,False,
22,Riley Bechtel,11600000000.0,86100000,11513900000,Bechtel Group (private),VCPE,0,False,
23,Dustin Moskovitz,11200000000.0,800000,11199200000,Asana (ASAN) + Meta (META),PUBLIC,0,False,"Moskovitz' primary residence is an $800,000 San Francisco condo."
24,Douglas Leone,10700000000.0,80000000,10620000000,Sequoia Capital (VC),VCPE,0,False,
25,Chris Larsen,10200000000.0,13500000,10186500000,Ripple/XRP (crypto),OTHER,0,False,
26,Brian Armstrong,10100000000.0,133000000,9967000000,Coinbase (COIN),PUBLIC,0,False,
27,Marijke Mars,10000000000.0,63603571.43,9936396429,Mars Inc. (private),VCPE,0,False,
28,Tom Gores,10000000000.0,138000000,9862000000,Platinum Equity (private PE),VCPE,0,False,
29,Andrew Karam,9800000000.0,62331500,9737668500,Unknown/unclear,OTHER,0,True,
30,Brian Chesky,9600000000.0,61059428.57,9538940571,Airbnb (ABNB),PUBLIC,0,False,
31,Marc Benioff,9300000000.0,18000000,9282000000,Salesforce (CRM),PUBLIC,0,False,
32,David Geffen,9200000000.0,132000000,9068000000,"Entertainment, diversified",OTHER,0,False,
33,Nathan Blecharczyk,9100000000.0,57879250,9042120750,Airbnb (ABNB),PUBLIC,0,False,
34,Steven Rales,8600000000.0,54699071.43,8545300929,Danaher (DHR),PUBLIC,0,False,
35,Don Hankey,8100000000.0,51300000,8048700000,Hankey Group (private auto/lending),VCPE,1,False,"Estimated value on homes.com is $6,882,000 - $19,119,746 "
