measure,year,tax_type,constitutional_amendment,severability_type,severability_text,notes
"Proposition 24 (Repeal Corporate Tax Breaks)",2010,"Corporate income (apportionment, NOL, credit sharing)",No,Standard,"SEC. 12. Severability. If any of the provisions of this measure or the applicability of any provision of this measure to any person or circumstances shall be found to be unconstitutional or otherwise invalid, such finding shall not affect the remaining provisions or applications of this measure to other persons or circumstances, and to that extent the provisions of this measure are deemed to be severable.","Failed. General-form clause only. No remedial instruction to courts. Verified against SOS Text of Proposed Laws, 2010 general."
"Proposition 26 (Supermajority Vote to Pass New Taxes and Fees)",2010,"Definition of tax vs. fee (all tax types)",Yes,Standard,"SECTION 5. Severability. If any provision of this act, or any part thereof, is for any reason held to be invalid or unconstitutional, the remaining provisions shall not be affected, but shall remain in full force and effect, and to this end the provisions of this act are severable.","Passed. Amends Art. XIII A sec. 3 and Art. XIII C sec. 1. General-form clause only. Verified against SOS Text of Proposed Laws, 2010 general."
"Proposition 30 (Temporary Taxes to Fund Education / Schools and Local Public Safety Protection Act)",2012,"Personal income tax surcharge + sales and use tax",Yes,None,"No severability provision. The measure comprises SECTION 1 through SEC. 7; SEC. 6 is Conflicting Measures and SEC. 7 addresses Proposition 98 funding. No severability clause appears anywhere in the text.","Passed. Directly comparable to the Billionaire Tax Act: a retroactive personal income tax surcharge (rates applied to the 2012 tax year, i.e., retroactive to January 1, 2012, for a measure approved in November 2012) enacted with no severability clause of any kind and no instruction to courts on date reform. Verified against SOS Text of Proposed Laws, 2012 general."
"Proposition 38 (Tax to Fund Education and Early Childhood Programs / Munger)",2012,"Personal income tax (bracket-wide rate increase)",No,Standard,"SEC. 10. Severability. The provisions of this act are meant to be severable. If any of the provisions of this measure or the applicability of any provision of this measure to any person or circumstances shall be found to be unconstitutional or otherwise invalid, that finding shall not affect the remaining provisions of the act or the application of this measure to other persons or circumstances.","Failed. Competing measure to Prop 30. General-form clause only. Verified against SOS Text of Proposed Laws, 2012 general."
"Proposition 39 (Tax Treatment for Multistate Businesses / Clean Energy Jobs Act)",2012,"Corporate income tax apportionment (single sales factor, market-based sourcing)",No,None,"No severability provision. The measure comprises SECTION 1 through SEC. 9, all substantive amendments to Revenue and Taxation Code sections 23101, 25128, 25128.5, 25128.7, 25136, and 25136.1. No severability clause appears anywhere in the text.","Passed. Notable because apportionment measures face the same dormant Commerce Clause exposure the Billionaire Tax Act anticipates in sec. 50306(b)(8), yet Prop 39 included no severability clause at all. Verified against SOS Text of Proposed Laws, 2012 general."
"Proposition 52 (Medi-Cal Hospital Fee Program)",2016,"Hospital provider fee / assessment",Yes,Standard,"If the provisions of this measure, or part thereof, are for any reason held to be invalid or unconstitutional, the remaining provisions shall not be affected, but shall remain in full force and effect, and to this end the provisions of this measure are severable.","Passed. General-form clause only, followed by a conflicting-measures provision. Verified against SOS Text of Proposed Laws, 2016 general."
"Proposition 55 (Extension of the Proposition 30 Income Tax Increase / California Children's Education and Health Care Protection Act)",2016,"Personal income tax surcharge (extension)",Yes,Standard,"SEC. 6. Severability. If the provisions of this measure, or part thereof, are for any reason held to be invalid or unconstitutional, the remaining provisions shall not be affected, but shall remain in full force and effect and to this end the provisions of this measure are severable.","Passed. Closest structural analogue to the Billionaire Tax Act among enacted measures: a constitutional amendment imposing a high-income personal income tax surcharge. Its clause is general-form only. SEC. 7 adds a Proponent Standing provision (allowing proponents to intervene to defend constitutionality) but gives courts no remedial instruction. Verified against SOS Text of Proposed Laws, 2016 general."
"Proposition 56 (Cigarette Tax to Fund Healthcare, Tobacco Use Prevention, Research, and Law Enforcement)",2016,Excise (tobacco),No,Standard,"SEC. 7. Severability. If the provisions of this act, or part thereof, are for any reason held to be invalid or unconstitutional, the remaining provisions shall not be affected, but shall remain in full force and effect and to this end the provisions of this act are severable.","Passed. General-form clause only. Verified against SOS Text of Proposed Laws, 2016 general."
"Proposition 64 (Adult Use of Marijuana Act)",2016,"Excise (cannabis cultivation and retail excise tax)",No,Standard,"SEC. 12. Severability. If any provision in this act, or part thereof, or the application of any provision or part to any person or circumstance is held for any reason to be invalid or unconstitutional, the remaining provisions and parts shall not be affected, but shall remain in full force and effect, and to this end the provisions of this act are severable.","Passed. Includes a federal-conflict construction provision (SEC. 11) directing that provisions not be construed to create a positive conflict with the federal Controlled Substances Act. That is a construction rule, not a remedial instruction, and it does not preserve any tax imposition or reform any date. Verified against SOS Text of Proposed Laws, 2016 general."
"Proposition 5 (Property Tax Transfer Initiative)",2018,Property tax (base-year value transfer),Yes,Standard,"SEC. 6. The provisions of this act are severable. If any provision of this act or its application is held invalid, that invalidity shall not affect other provisions or applications that can be given effect without the invalid provision or application.","Failed. General-form clause only. Verified against SOS Text of Proposed Laws, 2018 general."
"Proposition 6 (Voter Approval for Future Gas and Vehicle Taxes / repeal of SB 1)",2018,Excise (motor vehicle fuel) and vehicle license fee,Yes,None,"No severability provision. The measure comprises SECTION 1 (Findings) and SEC. 2 / SEC. 2.1 adding Section 3.5 to Article XIII A. No severability clause appears anywhere in the text.","Failed. Notable because the measure operated retroactively on taxes already imposed (requiring that post-January 1, 2017 rate increases cease unless approved by the electorate) yet contained no severability clause and no date-reform instruction. Verified against SOS Text of Proposed Laws, 2018 general."
